SL. No.,iso,Language_Name,Uninverted_Name,Autonym,Alternate_Names,Country_Code,Country_Namee,Is_Primary,is_Indigenous,Is_Established,All_Users,L1_Users,L2_Users,All_Full,L1_Full,L2_Full,Monolingual,Ethnic,Population_Year,Population_Total,Location,Subdivision,Latitude,Longitude,EGIDS,EGIDS_Label,Official_Recognition,LWC_Support,Classification,Dialect_Names,Relationships,Typology,Language_Use,Language_Contact,Use_as_L2,Literacy,Education,Literature,Revitalization,Language_Planning_Org,Scripts,General_Remarks,Religion
118,gau,"Gadaba, Mudhili",Mudhili Gadaba,,"Gadaba, Gol Gadaba, Kondekar, Kondko, Konekor Gadaba",IN,India,T,T,T,8000,8000,,,"8,000 (2000 IICCC). All Gadaba: 41,000 (2011 census).",,,,2000,,"Andhra Pradesh state: Vizianagaram district, Salur and Pachipenta sub-districts; Srikakulam and Vishakhapatnam districts.",Andhra Pradesh,18.5429,83.2059,5,5* (Developing),,,"Dravidian, Central, Parji-Gadaba",,93%–98% intelligibility among dialects. Lexical similarity: 84%–94% between dialects. Different from Dravidian Mudhili Gadaba [gau] and Pottangi Ollar Gadaba [gdb].,,All domains. Positive attitudes.,"Also use Telugu [tel], but with low proficiency.",,Literacy rate in L2: 34%–42% (2001 census).,,Grammar. NT: 2023.,,,Telugu script [Telu].,,Hindu.
119,gdb,"Gadaba, Pottangi Ollar",Pottangi Ollar Gadaba,,"Allar, Gadaba, Gadba, Hallari, Hollar Gadbas, Konekor, Konekor Gadaba, Mundli, Ollar Gadaba, Ollari, Ollaro, San Gadaba, Sano",IN,India,T,T,T,15000,15000,,,"15,000 (2002 M. Kurian). All Gadaba: 41,000 (2011 census).",,,,2002,,"Odisha state: Koraput district, Nandapur and Pottangi sub-districts.",Odisha,18.5726,82.8205,5,5* (Developing),,,"Dravidian, Central, Parji-Gadaba",,Lexical similarity: 69%–80% with 4 varieties in Odisha; 42%–47% with 1 variety in Andhra Pradesh; 52%–62% with Mudhili Gadaba [gau] in Andhra Pradesh.,,Positive attitudes.,"Also use Desiya [dso], as main L2. Also use Telugu [tel], but with low proficiency.",,Literacy rate in L2: 7%.,,NT: 2012.,,,"Oriya (Odia) script [Orya], used in Odisha. Telugu script [Telu], used in Andhra Pradesh.","Different from Gadaba [gbj] in Munda family, also spoken in Koraput.",Traditional religion.
120,gbk,Gaddi,Gaddi,गदी‎ (Gadi),"Bharmauri Bhadi, Gaddyali, Gadi, Gadiali, Pahari Bharmauri, Panchi Brahmauri Rajput",IN,India,T,T,T,181000,181000,,,"181,000 (2011 census).",,,,2011,,"Himachal Pradesh state: Chamba district, Brahmaur sub-district; Jammu and Kashmir, Madhya Pradesh, Punjab, and Uttar Pradesh states; Delhi.",Himachal Pradesh,32.4389,76.6394,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Pahari, Western Pahari","Bharmauri, Macleod Ganj","93% intelligibility of Mandeali [mjl], 97% of Kangri [xnr], 83% of Chambeali [cdh]. Lexical similarity: 74%–80% with Palamuri Kangri [xnr], 79% with Chambeali [cdh], 67%–73% with Mandeali [mjl].",SOV.,,"Also use English [eng]. Also use Hindi [hin], in shops, cities, and as language of instruction in schools.",,Literacy rate in L2: 37% for Jammu and Kashmir (2001 census).,,Radio. NT: 2017.,,,"Devanagari script [Deva]. Takri (Tankri, Takari) script [Takr], no longer in use.",Gaddi is generic for all indigenous populations of Bharmaur area of Chamba District.,Hindu.
121,bfu,Gahri,Gahri,,"Boonan, Bunan, Erankad, Ghara, Keylong Boli, Lahuli, Lahuli of Bunan, Poonan, Punan",IN,India,T,T,T,3750,3750,,,"3,750 (Widmer 2014).",,,,2014,,"Himachal Pradesh state: Barbog, Biling, Gumrang, Guskyar, Kardang, Kyelang, Paspara, Pyukar, and Styering, and Yurnad villages; Gahr Valley along Bhaga river from confluence with the Chandra and upstream.",Himachal Pradesh,32.5533,76.9865,6b,6b (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, West Himalayish, Kinauri",,"Lexical similarity: 39% with Sunam [ssk], 26%–39% with varieties of Chamba Lahuli (Pattani) [lae], 37% with Tinani [lbf], 26%–34% with some varieties of Central Tibetan [bod], 34% with Jangshung [jna] and Shumcho [scu], 31% with Kinnaur Bhoti [nes], 30% with Chitkuli [cik] and Chhoyul Kinnauri [tpq], 24% with Lhasa dialect of Central Tibetan [bod], 23% with Kanauri [kfk].",Only singular and plural number; no gender indicated in verbs or pronouns.,"All domains. Some young people, all adults.",Also use English [eng].,,,,Grammar. Bible portions: 1911–1923.,,,"Takri (Tankri, Takari) script [Takr], no longer in use. Tibetan script [Tibt].","Bodh caste, but speak a different language from Bodhs of Mayar, Khoksar, and Stod valleys. They consider themselves different from Bodhs of the north, whom they call Tibetans.",Buddhist.
122,gbl,Gamit,Gamit,ગામીત‎ (Gamit),"Gamati, Gameti, Gamith, Gamta, Gamti, Gavit",IN,India,T,T,T,139000,139000,,,"139,000 (2011 census).",,,,2011,,"Gujarat state: Surat district; some in Bharuch, Dangs, and Valsad districts; Maharashtra state: Nandurbar district; some in Dhule district.",Gujarat,21.072,73.7351,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",,Reportedly similar to Mawchi [mke].,,,Also use English [eng].,,Literacy rate in L2: 53% (2001 census). Most have high school or college education.,,Radio. NT: 1982.,,,Devanagari script [Deva]. Gujarati script [Gujr].,,"Traditional religion, Christian, Hindu."
123,gnb,Gangte,Gangte,Gangte,Gante,IN,India,T,T,T,16500,16500,,,"16,500 (2011 census).",,,,2011,,"Manipur state: south Churachandpur district, 37 villages; Assam and Meghalaya states.",Manipur,24.2413,93.3881,5,5* (Developing),,,"Sino-Tibetan, Tibeto-Burman, Kuki-Chin, Peripheral, Northern, Sizang",,"Related to Thado Chin [tcz]. Differs little from Vaiphei [vap], Paite [pck], or Zou [zom].",,Under pressure from Meitei [mni] (Van Driem 2007).,Also use English [eng]. Also use Meitei [mni].,,Literacy high among young people and lower among older people.,,Newspapers. Periodicals. Grammar. Bible: 1991–2010.,,,Latin script [Latn].,,Christian.
124,gas,"Garasia, Adiwasi",Adiwasi Garasia,"ગરાસિયા‎ (Garāsiyā), ગરાસિયા આદિવાસી‎ (Ādivāsī Garāsiyā)","Adiwasi Girasia, Adiwasi Gujarati, Garasia, Girasia",IN,India,T,T,T,100000,100000,,,"100,000 (1988 V. Patel).",,,,1988,,"Gujarat state: Banaskantha district, Danta sub-district; Sabarkantha district, Poshina sub-district; Rajasthan state: Jalor district.",Gujarat,24.3645,72.1171,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",,"Understand Rajput Garasia [gra] well. Lexical similarity: 89%–96% between dialects, 75%–93% with dialects of Rajput Garasia; 79%–92% with dialects of Patelia [bhb]; 79%–93% with Wagdi [wbr]; 76%–87% with Marwari [rwr] dialects.",,,"Also use English [eng]. Also use Gujarati [guj], but with low proficiency.",,Literacy rate in L2: 15%–25%.,,NT: 2017.,,,Gujarati script [Gujr].,Speakers are Bhils. Dungra Bhil is sometimes used as an alternate name for Adiwasi Garasia and Rajput Garasia [gra] but probably refers to more than 1 group living in the hills (Dungra means hill).,"Traditional religion, Hindu."
125,gra,"Garasia, Rajput",Rajput Garasia,गरसिया‎ (Garasiya),"Dhungri Garasia, Dungari Garasia, Dungri Grasia, Girasia, Grasia, Nyar",IN,India,T,T,T,76700,76700,,,"76,700 (2011 census).",,,,2011,,"Gujarat state: Banaskantha district; Rajasthan state: Pali, Sirchi, and Udaipur districts.",Rajasthan,24.9492,73.1036,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Bhil",,"Rajput Garasia do not understand Adiwasi Garasia [gas] but intelligibility is high the other way. Lexical similarity: 94%–99% with Gujarati [guj] and Rajasthani [mve] dialects, 75%–93% with Adiwasi Garasia [gas] dialects; 76%–84% with Patelia [bhb] dialects; 79%–86% with Wagdi [wbr]; 67%–84% with Marwari [rwr] dialects.",,Positive attitudes.,Also use Gujarati [guj]. Also use Hindi [hin].,,Literacy rate in L2: 15%–25%.,,NT: 2009.,,,Devanagari script [Deva]. Gujarati script [Gujr].,"Warrior Caste. Distinct from Dungra Bhil [duh], which is sometimes used as an alternate name for Adiwasi Garasia [gas] and Rajput Garasia but probably refers to more than 1 group living in the hills (Dungra means hill).","Traditional religion, Hindu."
126,gbm,Garhwali,Garhwali,गढ़वळि भाख‎ (Garhwali bhākha),"Gadhavali, Gadhawala, Gadwahi, Gashwali, Girwali, Godauli, Gorwali, Gurvali, Pahari Garhwali",IN,India,T,T,T,2480000,2480000,,,"2,480,000 (2011 census).",,,,2011,,"Himachal Pradesh state; Uttarakhand state: Chamoli, Dehra Dun, Pauri Garhwal, Rudraprayag, Tehri Garhwal, and Uttarkashi districts.",Uttarakhand,30.4542,78.7118,5,5 (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Pahari, Garhwali","Srinagari, Tehri (Gangapariya), Badhani, Dessaulya, Lohbya, Majh-Kumaiya, Bhattiani, Nagpuriya, Rathi, Salani (Pauri), Ravai, Parvati, Jaunpuri, Gangadi (Uttarkashi), Chandpuri","Jaunsari [jns] is sometimes referred to as a dialect of Garhwali, but most say they cannot understand it. Parvati dialect also reportedly not mutually intelligible; Srinagari is literary standard; Pauri generally regarded as the sweetest; Srinagari and Pauri are very similar. Lexical similarity: 53%–84% among dialects; 54%–69% with Hindi [hin], 55%–66% with Kumaoni [kfy]. The divergent dialect varieties of Bangani, Parvati, and Ravai are no more similar to Western Pahari varieties than to Garhwali.",SOV.,"Vigorous. Home, village. Used by all. Positive attitudes.","Also use English [eng]. Also use Hindi [hin], in the market, and with more fluency among men, the educated, and youth.","Used as L2 by Gujari [gju], Jad [jda], Rongpo [rnp].",Literacy rate in L2: 72% for Uttarakhand (2001 census). Older women lack literacy.,,Literature. Periodicals. Radio. Texts. NT: 1827–1994.,,,Devanagari script [Deva].,"Jaunpuri and Ravai dialects are culturally similar to Jaunsari and distinct from Garhwali. Castes are Brahmin, Rajput, Harijan.","Hindu, traditional religion."
127,grt,Garo,Garo,Mande,"Garrow, Mandi",IN,India,T,T,T,1150000,1150000,,,"1,150,000 in India (2011 census).",,,,2011,"12,26,800","Assam state: Goalpara, Kamrup, and Karbi Anglong districts; Meghalaya state: Garo Hills district; Nagaland state: Kohima district; Tripura state: south Tripura district, Udaipur sub-district; north Tripura district, Kailasahar and Kamalpur sub-districts; west Tripura district, Sadar sub-district; West Bengal state: Jalpaiguri and Koch Bihar districts.",Meghalaya,25.4297,90.5182,2,2 (Provincial),"Statutory provincial language in Meghalaya State (1950, Constitution, Articles 347), unscheduled language.",,"Sino-Tibetan, Tibeto-Burman, Sal, Boro-Garo","A’beng (A’bengya, Am’beng), A’chick (A’chik, A’we, Chisak, Dual, Matchi), Dacca, Ganching, Kamrup","A’chick is the standardized dialect in India. A’beng dialect used in Bangladesh, but is not mutually intelligible. Reportedly most similar to Koch [kdq].",SOV; postpositions; case-marking (9 cases); numeral classifiers; tense markers; 16 consonant and 5 vowels; non-tonal.,"Awe dialect, spoken in Assam, has few remaining speakers. Most use standard Garo.",,"Used as L2 by Atong [aot], Hajong [haj], Koch [kdq], Lyngngam [lyg], Rabha [rah], Ruga [ruh].",Literacy rate in L2: 55% for Meghalaya (2001 census). General level of education is low compared to Khasi [kha].,Taught in primary and secondary schools in Meghalaya state. Taught as subject at North-Eastern Hill University.,Literature. Radio. Videos. Dictionary. Grammar. Bible: 1924–1994.,,,"Bengali (Bangla) script [Beng]. Braille script [Brai], used since 1998. Latin script [Latn].",,Christian.
128,gaq,Gata’,Gata’,,"Didayi, Didei, Dire, Gataq, Geta’, Getaq, Gta Asa, Gta’",IN,India,T,T,T,3060,3060,,,"3,060 (1991 census).",,,"7,370 (2001 census). In Odisha.",1991,,"Andhra Pradesh state: east Godavari district; Odisha state: Koraput and Malkangiri districts, Kudumulgumma and Chitrakonda sub-districts south of Bondo Hills; some in Khairput sub-district. 47 villages.",Odisha,18.3606,82.2262,6b,6b (Threatened),,,"Austro-Asiatic, Munda, South Munda, Koraput Munda, Gutob-Remo-Geta’, Geta’","Plains Geta’, Hill Geta’","Ruhlen treats Plains Geta’ and Hill Geta’ as separate languages. Lexical similarity: 68%–93% among dialects, 27%–37% with Bondo [bfw] varieties, 22%–28% with Gadaba Gutob [gbj] dialect.",,"Some young people, all adults.",Also use Desiya [dso]. Also use English [eng]. Also use Odia [ory].,,Literacy rate in L2: 10% in Odisha (2001 census).,,Grammar. Texts. NT: 2020.,,,Oriya (Odia) script [Orya].,,"Traditional religion, Hindu."
129,gdx,Godwari,Godwari,,,IN,India,T,T,T,3000000,3000000,,,"3,000,000 (2001 census).",,,,2001,,"Gujarat state: Banas Kantha and north Sabar Kantha; Rajasthan state: Jhalor, Pali, and Sirohi districts.",Rajasthan,25.2975,72.8786,6b,6b (Threatened),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani, Marwari","Balvi, Khuni, Madahaddi, Sirohi","88%–92% intelligibility of Marwari [rwr]. Lexical similarity: 70% between dialects; 62%–75% with Merwari [wry], 45%–69% with Shekhawati [swv], 51%–73% with Mewari [mtr], 46%–66% with Dhundari [dhd], 44%–67% with Haroti [hoj], 62%–74% with Marwari [rwr].",,"Home, village, market, religion. Some of all ages. Positive attitudes.","Also use English [eng]. Also use Hindi [hin], with very good proficiency among the educated.",,,,Grammar.,,,Unwritten [Qaax].,,Hindu.
130,wsg,"Gondi, Adilabad",Adilabad Gondi,"కోయంగ్‎ (Koyang), గోండి‎ (Gondi)","Gunjala Gondi, Koyang, Nirmal, Raj Gond, Telugu Gondi",IN,India,T,T,T,300000,300000,,,"300,000 (2015 M. Penny). All Gondi speakers: 2,910,000 (2011 census).",,,,2015,,"Maharashtra state: south Chandrapur, Nanded, and Yavatmal districts; Telangana state: Adilabad, north Karimnagar, and Warrangal districts.",Telangana,19.1882,78.9805,4,4 (Educational),,,"Dravidian, South-Central, Gondi-Kui, Gondi","Utnoor Gondi, Rajura",Intelligibility of Northern Gondi [gno] 49%–58%.,,All domains. Used by all.,Also use English [eng].,,Literacy rate in L2: 25%–50%.,Taught in primary schools in early grades only. The State Education Department has recognized this language and has been active in promoting it for primary education (2015 M. Penny).,Dictionary. NT: 2018.,,,Telugu script [Telu].,,"Hindu, traditional religion."
131,esg,"Gondi, Aheri",Aheri Gondi,"कोयम‎ (Koyam), गोंडी‎ (Gondi)","Koyam, Raj Gond",IN,India,T,T,T,150000,150000,,,"150,000 (2015 B. Kurian). All Gondi speakers: 2,910,000 (2011 census).",,,,2015,,Maharashtra state: Gadchiroli district; Telangana state: Adilabad district.,Maharashtra,19.3622,80.055,5,5 (Developing),,,"Dravidian, South-Central, Gondi-Kui, Gondi","Sironcha, Etapally Gondi, Bhamragarh","Sironcha dialect understood best by the others, with 73%–98% intelligibility. 49%–58% intelligibility of Northern Gondi [gno]. Lexical similarity: 34%–43% with Adilabad Gondi [wsg].",,Used by all.,Also use English [eng].,,Literacy rate in L2: 25%–50%.,,Dictionary. NT: 2022.,,,Devanagari script [Deva].,,"Hindu, traditional religion."
132,gno,"Gondi, Northern",Northern Gondi,गोंडी‎ (Gondi),"Gaudi, Ghond, Godi, Gondi, Gondiva, Gondu, Gondwadi, Goondile, Goudi, Goudwal",IN,India,T,T,T,2152000,1950000,202000,"2,152,000, all users.","1,950,000 (1997 Bible Society of India). All Gondi speakers: 2,910,000 (2011 census).","202,000 (2011 census).",,,1997,,"Madhya Pradesh state: Balaghat, Betul, Chhindwara, Mandla, and Seoni districts; Maharashtra state: Amravati, Bhandara, Nagpur, Wardha, and Yavatmal districts.",Madhya Pradesh,22.4744,80.2809,5,5 (Developing),,,"Dravidian, South-Central, Gondi-Kui, Gondi","Betul, Chhindwara, Mandla, Seoni, Amravati, Bhandara, Nagpur, Yavatmal","Inherent intelligibility between dialects 94%–97%. Speakers tested in other dialects understood Amravati 94%–97%; Betul 83%–96%, and Seoni 82%–97%. 58%–78% intelligibility of Adilabad Gondi [wsg] and Aheri Gondi [esg]. Different from Muria [hlb], Maria [mrr] of Garhchiroli, Dandami Maria [daq], and Koya [kff]. Lexical similarity: 58%–90% among dialects.",,Used by all. Positive attitudes.,"Also use English [eng]. Also use Hindi [hin], especially in Madhya Pradesh, but with low proficiency. Also use Marathi [mar], especially in Maharashtra, but with low proficiency.","Used as L2 by Nagarchal [nbg], Northwestern Kolami [kfb].",Literacy rate in L1: 1%–5%. Literacy rate in L2: 25%–50%.,,Radio. Videos. Grammar. NT: 1996.,,,Devanagari script [Deva].,,"Traditional religion, Hindu."
133,goj,Gowlan,Gowlan,,,IN,India,T,T,T,20200,20200,,,"20,200 (2000).",,,,2000,,"Madhya Pradesh state: Hoshangabad district; Maharashtra state: Amravati district, and among Korku [kfq] people; some in north Karnataka state.",Maharashtra,21.3849,77.0749,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Unclassified",,Dialects in Maharashtra and Karnataka reportedly different. May be more similar to Hindi [hin] (Central zone) than to Marathi [mar] (Southern zone).,,Home. Mixed attitudes. Positive attitudes toward Gowlan and Hindi [hin]. Only some want their children to learn Marathi [mar].,"Also use English [eng]. Also use Hindi [hin], but with low bilingualism in Chikli area.",,,,NT: 2022.,,,Devanagari script [Deva].,Surrounded by Korku. Belong to Gowli caste.,"Traditional religion, Christian."
134,gok,Gowli,Gowli,गौली‎ (Gaulī),Nand,IN,India,T,T,T,35000,35000,,,"35,000 (IMA 1997).",,,,1997,,Madhya Pradesh state; Maharashtra state: Amravati district.,Maharashtra,21.0303,77.6903,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Western Hindi, Unclassified","Nand, Ranya, Lingaayat, Khamla",Nand subdialects have 93% or higher intelligibility with Khamla dialect. Dialect used in Madhya Pradesh appears more similar to Marathi [mar] (Southern zone) than to Hindi [hin] (Central zone). Lexical similarity: 84%–92% between the Ranya and Nand dialects.,,Home.,Also use English [eng]. Also use Hindi [hin]. Also use Marathi [mar].,,Literacy rate in L2: 5%–15%.,,NT: 2017.,,,Devanagari script [Deva].,"Speakers belong to Gowli caste. 1 and a half subgroups; Nand Gowli the highest, Musalman (the half tribe) the lowest. Surrounded by Korku [kfq].","Hindu, traditional religion."
135,gac,"Great Andamanese, Mixed",Mixed Great Andamanese,,"Andamese, Jeru",IN,India,T,T,T,0,0,,,"No known L1 speakers. The last fluent speaker, Nao, died in 2009 (2009 A. Abbi).",,,60 (2020 D. Dasgupta).,,,"Andaman and Nicobar Islands union territory: Strait island, about 100 km northeast of Port Blair.",Andaman and Nicobar Islands,12.2094,92.9446,9,9 (Dormant),,,"Andamanese, Great Andamanese",,,"The linguistic system of Mixed Great Andamanese appears to be close to Koineization. It is a mixture of three to four languages spoken once on the island, including Jeru, Khora, Sare and Bo.",,Shifted to Andaman Hindi Creole [hca].,Used as L2 by Aka-Jeru [akj].,,,Grammar.,,,Unwritten [Qaax].,"Only one other language in the Central Andamanese group, Aka-Jeru [akj], has any remaining speakers.",
136,gro,Groma,Groma,,Tromowa,IN,India,F,T,T,14000,14000,,,"14,000 in India (2007 Asia Harvest).",,,,2007,"26,800","Sikkim state: North Sikkim district, Chumbi valley.",Sikkim,,,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, Central Bodish, Central, Southern","Upper Groma, Lower Groma",,,,Also use English [eng].,,,,,,,,,
137,guj,Gujarati,Gujarati,ગુજરાત‎ (Gujarātī),"Gujerathi, Gujerati, Gujrathi",IN,India,T,T,T,60000000,55200000,4800000,"60,000,000 in India, all users.","55,200,000 in India (2011 census).","4,800,000 (2011 census).",,,2011,"62,473,620 (as L1: 57,633,620; as L2: 4,840,000)",Gujarat state: both shores of Gulf of Khambhat; Maharashtra state: Nandubar and Nashil districts; Rajasthan state: Jalor and Sirohi districts; Daman and Diu Union Territory.,Gujarat,22.7477,71.8323,2,2 (Provincial),"Statutory provincial language in Gujarat State; Dadra and Nagar Haveli, Daman and Diu union territories (1950, Constitution, Schedule VIII).",,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Gujarati","Standard Gujarati (Mumbai Gujarati, Nagari, Patnuli, Saurashtra Standard), Gamadia (Ahmedabad Gamadia, Anawla, Brathela, Charotari, Eastern Broach Gujarati, Gramya, Patani, Patidari, Surati, Vadodari), Parsi (Parsee), Kathiyawadi (Bhawnagari, Gohilwadi, Holadi, Jhalawadi, Sorathi), Kharwa, Kakari, Tarimuki (Ghisadi)","The Parsi dialect has less than 55,000 speakers, with only a very few knowing how to read or write it (2017 R. Doctor). Parsi is not inherently intelligible with Parsi-Dari [prd], from whom they separated 600–700 years ago. Other reports say they came to India 1,300 years ago.","SOV; postpositions; noun head final; gender (masculine/feminine/neuter); no articles; case-marking (6 cases); verb affixes mark person, number, gender of subject; split ergativity; passives; tense and aspect; comparatives; 31 consonants, 8 vowels, 2 diphthongs; non-tonal; stress on penultimate syllable.",,Also use English [eng].,"Used as L2 by Adiwasi Garasia [gas], Chodri [cdi], Dangi [dhn], Dhodia [dho], Indo-Portuguese [idb], Kacchi [kfr], Rajput Garasia [gra], Sansi [ssi], Varli [vav].",Literacy rate in L1: 70% for Gujarat state (2001 census).,"Taught in primary and secondary schools through grade 5 and as subject thereafter in Gujarat State; Dadra and Nagar Haveli, Daman and Diu union territories.",Fully developed. Bible: 1823–2005.,,,"Braille script [Brai]. Gujarati script [Gujr], primary usage. Khojki script [Khoj].",,"Hindu, Muslim."
138,gju,Gujari,Gujari,گوجری‎ (Gojri),"Gogri, Gojari, Gojri, Gujar, Gujer, Gujjari, Gujuri, Gurjar, Hindki, Kashmir Gujuri, Parimu, Rajasthani Gujuri",IN,India,T,T,T,1290000,1290000,,,"1,290,000 in India (2011 census).",,,"1,600,000 (2002). In Uttar Pradesh, Haryana, Madhya Pradesh, Rajasthan, Maharashtra, Gujarat, Punjab, Delhi.",2011,"17,12,000","Jammu and Kashmir state: Anantnag district, Doru, Kukernag, and Pahalgam sub-districts; Baramulla district, Uri sub-district; Ganderbal district, Kangan sub-district; Kulgam district; Kupwara district, Handwara, Karnah, and Kupwara sub-districts; Pulwama district, Tral sub-district; Shopian district.",Jammu and Kashmir,33.5008,74.7697,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Rajasthani",Ajiri of Hazara,"Poonchi [phr] may be understood by others and form the basis for a standard dialect. In Pakistan, Eastern Gujari appears more similar to Northern Hindko [hno] or Pahari-Potwari [phr]. Western Gujari appear to understand the Eastern dialect better than vice versa. Comparison with India varieties is needed. Lexical similarity: 60% between Uttar Pradesh and Pakistan, 76% with Poonchi.",,"In general, Hindu agriculturalists have not retained Gujari language and culture, whereas Muslim Gujari have. Gujars outside Jammu-Kashmir and Himachal Pradesh do not speak Gujari, but regional languages. All domains. Positive attitudes.",Also use Dogri [dgo]. Also use English [eng]. Also use Garhwali [gbm]. Also use Hindi [hin]. Also use Jaunsari [jns]. Also use Kashmiri [kas]. Also use Kullu Pahari [kfx]. Also use Kumaoni [kfy]. Also use Urdu [urd].,,Literacy rate in L2: 5%–15%.,,Literature. Periodicals. Radio. TV. Dictionary. Grammar. Texts.,,,"Arabic script, Naskh variant [Arab]. Arabic script, Nastaliq variant [Aran], primary usage. Devanagari script [Deva], plans for future development using this script.",,"Muslim, Hindu."
139,gvr,Gurung,Gurung,तमु क्यी‎ (Tamu Kyi),"Gurung Kura, Tamu Kyi, Western Gurung",IN,India,F,F,T,33000,33000,,,"33,000 in India (2007).",,,########,2007,"399,700 (as L1: 376,000; as L2: 23,700)",Sikkim state: South district; West Bengal state: Darjeeling district.,West Bengal,,,6b,6b* (Threatened),,,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, West Bodish, Gurung-Tamang, Gurungic",,,"SOV; postpositions; genitives, adjectives, relative clauses precede noun heads; numerals after noun heads; noun head final; no noun classes or genders; content q-word in situ; rising intonation marks bipolar questions; one negative prefix on verbs; up to 2 suffixes; clause constituents indicated by case-marking; case of noun phrases is indicated by postpositions; no subject or object referencing in verbs; split ergative system according to tense; causatives; benefactives; aspect; no passives or voice; 24 consonant and 5 vowel phonemes; CV, CCV, CCCV; tonal: voice quality or register is part of the tone system.",,All also use Nepali [npi].,,,,Literature. Newspapers. Periodicals. Radio. TV. Videos. Dictionary. Grammar. Texts. NT: 1982–2020.,,,Devanagari script [Deva]. Gurung Khema script [Gukh].,,
140,haj,Hajong,Hajong,"Hajong Bhasa, হৃজং ভাশা‎ (Hajong Bhasa)","Haijong, Hajang, Hazong",IN,India,T,T,T,71800,71800,,,"71,800 in India (2011 census).",,,,2011,"79,800","Assam state: Goalpara, and Nagaon districts; Meghalaya state: West Garo Hills district, west side; West and East Khasi hills districts; Arunachal Pradesh and West Bengal states.",Meghalaya,25.5042,90.0896,5,5* (Developing),,,"Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Banai, Dalu","No prestige or standard dialect recognized. Intelligible with Hajong of Bangladesh. Lexical similarity: 82%–91% between Banai dialect of Koch [kdq] and mainstream Hajong varieties, 74%–77% between Dalu dialect and mainstream Hajong varieties, 79% between Banai dialect of Koch [kdq] and Dalu, 54%–64% with Assamese [asm], 63%–67% with Bengali [ben], 74%–85% with Hajong of Bangladesh.",,Vigorous. All domains. Positive attitudes.,Also use Assamese [asm]. Educated have high fluency in Assamese. Also use Bengali [ben]. Also use English [eng]. Also use Garo [grt].,Used as L2 by Koch [kdq].,Literacy rate in L2: 20%–25%; 48% for Meghalaya (2001 census).,,Literature. Radio. TV. Bible portions: 2010–2011.,,,"Bengali (Bangla) script [Beng], used in Bangladesh and India. Latin script [Latn], used in India.","Jharua may be an alternate name. Though linguistically different, the Banai affiliate themselves with the Koch.","Traditional religion, Hindu."
141,hlb,Halbi,Halbi,हलबी‎ (Halabi),"Halabi, Halba, Halvas, Halvi, Holva, aia jaia got",IN,India,T,T,T,956000,766000,190000,"956,000, all users.","766,000 (2011 census).","190,000 (2011 census).",,,2011,,Andhra Pradesh state; Chhattisgarh state: Bastar district plains; Madhya Pradesh state: Balaghat district; Maharashtra state: Gondia district; Odisha state: Koraput district.,Madhya Pradesh,21.7351,80.2289,3,3 (Wider communication),,"Became dominant in the 19th century under British rule. Main means of communication for various groups across the central part of India. Used in trade, music, and communication among the less educated.","Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Eastern, Bengali-Assamese","Adkuri, Bastari, Bhunjia, Chandari, Gachikolo, Govari of Balaghat, Kawari, Kunbi, Mahari (Mahara, Mehara, Mehari), Muri (Muria), Sundi","Bhunjia and Kawari dialects considered more divergent dialects. Reportedly a creole language. Grierson and Konow called it a dialect of Marathi [mar] for convenience, but noted similarities to Bhatri [bgw], a dialect of Odia [ory] (Grierson and Konow 1903–1928).","SOV; postpositions; genitives, articles, adjectives, numerals before noun heads; 2 or 3 affixes per word; word order distinguishes given and new information; noun affixes indicate case; verb affixes mark person, number, gender of subject; passives; causatives; comparatives; CV, CVC, CVV; nontonal.",,"Also use Bhatri [bgw]. Also use Hindi [hin], especially educated men, for trading and common topics.","Used as L2 by Bhatri [bgw], Duruwa [pci], Eastern Muria [emu], Maria [mrr], Mirgan [zrg].",Literacy rate in L2: 74% for Chhattisgarh plains (2001 census). Government literacy program uses Hindi [hin] primers.,,Dictionary. Grammar. NT: 2017.,,,Devanagari script [Deva].,,"Traditional religion, Hindu."
